"ID" "Student Name" "Student Email" "Branch Code" "Academic Batch" "CGPA" "Sign_In_Count"
"1" "msrkur.a." "msrkur.a.6017.csan@nighthack.in" "csan036" "2014" "8.19" "1"
"2" "ykaav" "ykaav7033.hrm@nighthack.in" "hrm048" "2016" "8.55" "0"
"3" "apalrmaaulv" "apalrmaaulv0002.dop@nighthack.in" "dop010" "2017" "4.57" "1"
"4" "aharigyt" "aharigyt2316.csae@nighthack.in" "csae002" "2015" "7.93" "0"
"5" "isanriavs" "isanriavs5086.me@nighthack.in" "me005" "2017" "6.36" "70"
"6" "inasthhnat" "inasthhnat0011.ceam@nighthack.in" "ceam040" "2017" "7.57" "0"
"7" "hasnge" "hasnge6009.moha@nighthack.in" "moha086" "2017" "6.74" "8"
"8" "mejrdahtaa" "mejrdahtaa3008.eaee@nighthack.in" "eaee003" "2015" "7.36" "31"
"9" "naashyatdr" "naashyatdr4010.ad@nighthack.in" "ad024" "2016" "8.23" "2"
"10" "haiskbhe" "haiskbhe7001.mm@nighthack.in" "mm046" "2016" "7.2" "0"
"11" "svnehgia" "svnehgia1002.bods@nighthack.in" "bods011" "2018" "8.79" "21"
"12" "hdniwan" "hdniwan4029.eace@nighthack.in" "eace004" "2018" "7.92" "78"
"13" "apavn" "apavn8005.amd@nighthack.in" "amd028" "2016" "9.64" "9"
"14" "aitshsh" "aitshsh5008.esde@nighthack.in" "esde215" "2016" "9.18" "0"
"15" "tauankjs" "tauankjs3009.ic@nighthack.in" "ic083" "2017" "7.29" "0"
"16" "aalgwar" "aalgwar2013.csae@nighthack.in" "csae002" "2018" "7.43" "3"
"17" "asakkhn" "asakkhn4009.eace@nighthack.in" "eace004" "2018" "8.23" "14"
"18" "itrho" "itrho6009.aaf@nighthack.in" "aaf016" "2018" "4.55" "38"
"19" "nnsaehaw" "nnsaehaw9005.bop@nighthack.in" "bop009" "2018" "9.02" "3"
"20" "vkisa" "vkisa8118.bohm@nighthack.in" "bohm008" "2017" "7.63" "75"
"21" "oanajhn" "oanajhn1024.bods@nighthack.in" "bods011" "2016" "8.29" "13"
"22" "vuanbh" "vuanbh2057.csae@nighthack.in" "csae002" "2015" "9.47" "96"
"23" "ianlayk" "ianlayk1014.ce@nighthack.in" "ce001" "2016" "8.67" "0"
"24" "ichsna" "ichsna9002.p@nighthack.in" "p059" "2015" "8.48" "20"
"25" "ceahntire" "ceahntire9007.fpat@nighthack.in" "fpat019" "2018" "4.57" "49"
"26" "sndtraahahrac" "sndtraahahrac3006.ic@nighthack.in" "ic083" "2017" "7.31" "0"
"27" "irnssiag" "irnssiag7003.oams@nighthack.in" "oams067" "2017" "8.21" "0"
"28" "ulskyaao" "ulskyaao1012.bods@nighthack.in" "bods011" "2014" "6.46" "21"
"29" "kulhsa" "kulhsa1012.ce@nighthack.in" "ce001" "2018" "4.89" "22"
"30" "caehhtn" "caehhtn1002.dpieata@nighthack.in" "dpieata720" "2015" "6.99" "0"
"31" "thhisni" "thhisni4049.eace@nighthack.in" "eace004" "2016" "8.76" "59"
"32" "tiahdwa" "tiahdwa6004.pd@nighthack.in" "pd006" "2016" "5.26" "63"
"33" "anatahhrps" "anatahhrps7001.rtes@nighthack.in" "rtes037" "2018" "8.56" "12"
"34" "hshakbei" "hshakbei8003.bohm@nighthack.in" "bohm008" "2017" "7.78" "79"
"35" "cdugdwonh" "cdugdwonh4113.eace@nighthack.in" "eace004" "2018" "8.7" "102"
"36" "aeehjtrtec" "aeehjtrtec2154.csae@nighthack.in" "csae002" "2017" "8.74" "119"
"37" "iaahkr" "iaahkr0013.dop@nighthack.in" "dop010" "2014" "7.11" "36"
"38" "shtahri" "shtahri4059.eace@nighthack.in" "eace004" "2018" "4.71" "14"
"39" "bahshri" "bahshri2024.csae@nighthack.in" "csae002" "2014" "8.5" "80"
"40" "atiavnh" "atiavnh1047.bods@nighthack.in" "bods011" "2015" "5.16" "17"
